"Date","DCM"
"1994-02-05",424278
"1994-02-08",319920
"1994-02-09",302896
"1994-02-11",235003
"1994-02-17",217713
"1994-02-19",202383
"1994-02-25",242726
"1994-03-03",226420
"1994-03-05",212100
"1994-03-08",196195
"1994-03-13",181615
"1994-03-17",210145
"1994-03-25",224629
"1994-03-30",206933
"1994-04-03",190594
"1994-04-08",181180
"1994-04-13",197499
"1994-04-16",176109
"1994-04-17",155557
"1994-04-18",135006
"1994-04-19",114454
"1994-04-21",93851
"1994-04-24",76696
"1994-04-28",105891
"1994-04-30",124679
"1994-05-07",142265
"1994-05-15",131979
"1994-05-22",151972
"1994-05-28",149817
"1994-05-31",132603
"1994-06-04",124755
"1994-06-12",127244
"1994-06-18",127439
"1994-06-20",111489
"1994-06-24",94386
"1994-06-25",89020
"1994-07-04",107250
"1994-07-11",116635
"1994-07-14",135064
"1994-07-15",146764
"1994-07-17",162408
"1994-07-18",177592
"1994-07-23",194476
"1994-07-31",197572
"1994-08-06",201569
"1994-08-11",219953
"1994-08-15",207192
"1994-08-16",189401
"1994-08-18",174166
"1994-08-19",156784
"1994-08-24",139235
"1994-08-25",138022
"1994-09-03",141410
"1994-09-12",136279
"1994-09-21",135415
"1994-09-25",111693
"1994-09-29",92266
"1994-10-04",109464
"1994-10-06",129996
"1994-10-09",148822
"1994-10-15",152377
"1994-10-23",143975
"1994-11-01",151560
"1994-11-07",142654
"1994-11-14",131148
"1994-11-20",126680
"1994-11-26",120301
"1994-12-01",131120
"1994-12-08",113534
"1994-12-11",109084
"1994-12-19",116425
"1994-12-28",114556
"1995-01-05",119603
"1995-01-14",130646
"1995-01-21",127784
"1995-01-29",116564
"1995-02-04",118697
"1995-02-07",138329
"1995-02-11",156672
"1995-02-18",142985
"1995-02-19",129057
"1995-02-21",113449
"1995-02-24",102338
"1995-03-05",116508
"1995-03-12",111182
"1995-03-19",100585
"1995-03-28",106107
"1995-04-05",117256
"1995-04-12",123298
"1995-04-15",104127
"1995-04-18",86029
"1995-04-20",68215
"1995-04-24",53865
"1995-05-01",45288
"1995-05-10",52427
"1995-05-16",71264
"1995-05-19",91156
"1995-05-28",72418
"1995-06-02",70385
"1995-06-06",88220
"1995-06-08",102290
"1995-06-14",116731
"1995-06-20",112900
"1995-06-24",98996
"1995-07-02",87908
"1995-07-09",74345
"1995-07-18",70887
"1995-07-25",57707
"1995-07-30",53714
"1995-08-08",69649
"1995-08-10",78054
"1995-08-13",55969
"1995-08-15",41858
"1995-08-16",27442
"1995-08-22",9702
"1995-08-27",26598
"1995-08-28",48607
"1995-08-30",70232
"1995-09-03",93391
"1995-09-10",84302
"1995-09-11",68443
"1995-09-13",53438
"1995-09-16",35519
