Date,CO2_ppm,T_anom
1958-03-15,315.71,0.15
1958-04-15,317.45,0.11
1958-05-15,317.5,0.09
1958-06-15,317.1,0.08
1958-07-15,315.86,0.09
1958-08-15,314.93,0.09
1958-09-15,313.2,0.05
1958-10-15,312.66,0.07
1958-11-15,313.33,0.07
1958-12-15,314.67,0.15
1959-01-15,315.62,0.15
1959-02-15,316.38,0.09
1959-03-15,316.71,0.21
1959-04-15,317.72,0.12
1959-05-15,318.29,0.06
1959-06-15,318.15,0.11
1959-07-15,316.54,0.08
1959-08-15,314.8,0.08
1959-09-15,313.84,0.11
1959-10-15,313.26,0
1959-11-15,314.8,-0.06
1959-12-15,315.58,0.01
1960-01-15,316.43,0.04
1960-02-15,316.97,0.21
1960-03-15,317.58,-0.18
1960-04-15,319.02,-0.06
1960-05-15,320.03,-0.05
1960-06-15,319.59,0.09
1960-07-15,318.18,0.05
1960-08-15,315.91,0.09
1960-09-15,314.16,0.11
1960-10-15,313.83,0.06
1960-11-15,315,-0.04
1960-12-15,316.19,0.27
1961-01-15,316.93,0.13
1961-02-15,317.7,0.2
1961-03-15,318.54,0.17
1961-04-15,319.48,0.15
1961-05-15,320.58,0.17
1961-06-15,319.77,0.15
1961-07-15,318.57,0.07
1961-08-15,316.79,0.05
1961-09-15,314.8,0.04
1961-10-15,315.38,-0.02
1961-11-15,316.1,0.04
1961-12-15,317.01,-0.01
1962-01-15,317.94,0.12
1962-02-15,318.56,0.17
1962-03-15,319.68,0.16
1962-04-15,320.63,0.1
1962-05-15,321.01,0.07
1962-06-15,320.55,0.04
1962-07-15,319.58,0.12
1962-08-15,317.4,0.08
1962-09-15,316.26,0.1
1962-10-15,315.42,0.12
1962-11-15,316.69,0.09
1962-12-15,317.69,0.11
1963-01-15,318.74,0.06
1963-02-15,319.08,0.27
1963-03-15,319.86,-0.02
1963-04-15,321.39,0.02
1963-05-15,322.25,0.04
1963-06-15,321.47,0.05
1963-07-15,319.74,0.13
1963-08-15,317.77,0.18
1963-09-15,316.21,0.18
1963-10-15,315.99,0.23
1963-11-15,317.12,0.21
1963-12-15,318.31,0.09
1964-01-15,319.57,0.01
1964-02-15,320.07,-0.06
1964-03-15,320.73,-0.16
1964-04-15,321.77,-0.2
1964-05-15,322.25,-0.09
1964-06-15,321.89,-0.07
1964-07-15,320.44,-0.08
1964-08-15,318.7,-0.16
1964-09-15,316.7,-0.19
1964-10-15,316.79,-0.25
