"Year","Month","Day","Hour","Temp_15cm"
2014,4,1,0,20.1
2014,4,1,1,19.75
2014,4,1,2,19.55
2014,4,1,3,19.25
2014,4,1,4,19
2014,4,1,5,18.9
2014,4,1,6,18.6
2014,4,1,7,18.45
2014,4,1,8,18.3
2014,4,1,9,18.25
2014,4,1,10,18.6
2014,4,1,11,18.8
2014,4,1,12,19.6
2014,4,1,13,20.05
2014,4,1,14,20.3
2014,4,1,15,20.85
2014,4,1,16,20.8
2014,4,1,17,20.8
2014,4,1,18,20.9
2014,4,1,19,20.85
2014,4,1,20,20.95
2014,4,1,21,20.9
2014,4,1,22,20.5
2014,4,1,23,20.35
2014,4,2,0,19.85
2014,4,2,1,19.5
2014,4,2,2,19.4
2014,4,2,3,19.1
2014,4,2,4,18.9
2014,4,2,5,18.75
2014,4,2,6,18.6
2014,4,2,7,18.3
2014,4,2,8,18.2
2014,4,2,9,18.2
2014,4,2,10,18.4
2014,4,2,11,18.8
2014,4,2,12,19.7
2014,4,2,13,19.85
2014,4,2,14,20.7
2014,4,2,15,21.05
2014,4,2,16,21.35
2014,4,2,17,21.7
2014,4,2,18,21.65
2014,4,2,19,21.55
2014,4,2,20,21.65
2014,4,2,21,20.8
2014,4,2,22,20.75
2014,4,2,23,20.5
2014,4,3,0,20.35
2014,4,3,1,20
2014,4,3,2,20.1
2014,4,3,3,19.8
2014,4,3,4,19.65
2014,4,3,5,19.1
2014,4,3,6,19.1
2014,4,3,7,19
2014,4,3,8,18.95
2014,4,3,9,18.7
2014,4,3,10,19.15
2014,4,3,11,19.65
2014,4,3,12,19.7
2014,4,3,13,19.7
2014,4,3,14,20.35
2014,4,3,15,20.5
2014,4,3,16,20.75
2014,4,3,17,20.75
2014,4,3,18,20.55
2014,4,3,19,20.2
2014,4,3,20,20.2
2014,4,3,21,20.2
2014,4,3,22,20.15
2014,4,3,23,20
2014,4,4,0,20.1
2014,4,4,1,20
2014,4,4,2,20.25
2014,4,4,3,19.7
2014,4,4,4,19.8
2014,4,4,5,20
2014,4,4,6,19.7
2014,4,4,7,19.2
2014,4,4,8,18.85
2014,4,4,9,18.6
2014,4,4,10,18.6
2014,4,4,11,18.6
2014,4,4,12,18.6
2014,4,4,13,18.6
2014,4,4,14,18.6
2014,4,4,15,18.75
2014,4,4,16,18.9
2014,4,4,17,18.9
2014,4,4,18,18.9
2014,4,4,19,18.9
2014,4,4,20,18.9
2014,4,4,21,18.7
2014,4,4,22,18.6
2014,4,4,23,18.6
2014,4,5,0,18.6
2014,4,5,1,18.6
2014,4,5,2,18.6
2014,4,5,3,18.35
2014,4,5,4,18.3
2014,4,5,5,18.3
2014,4,5,6,18.3
2014,4,5,7,18.3
2014,4,5,8,18.3
2014,4,5,9,18.3
2014,4,5,10,18.3
2014,4,5,11,18.35
2014,4,5,12,18.6
2014,4,5,13,18.75
2014,4,5,14,19.1
2014,4,5,15,19.4
2014,4,5,16,19.7
2014,4,5,17,19.85
2014,4,5,18,19.85
2014,4,5,19,19.65
2014,4,5,20,19.7
2014,4,5,21,19.55
2014,4,5,22,19.15
2014,4,5,23,19.2
2014,4,6,0,19.1
2014,4,6,1,19.1
2014,4,6,2,18.6
2014,4,6,3,18.35
2014,4,6,4,18.35
2014,4,6,5,18.45
2014,4,6,6,18.2
2014,4,6,7,17.75
2014,4,6,8,17.65
2014,4,6,9,17.75
2014,4,6,10,17.8
2014,4,6,11,19.35
2014,4,6,12,19.55
2014,4,6,13,18.75
2014,4,6,14,18.95
2014,4,6,15,19.25
2014,4,6,16,19.55
2014,4,6,17,19.7
2014,4,6,18,19.85
2014,4,6,19,19.85
2014,4,6,20,19.6
2014,4,6,21,19.65
2014,4,6,22,19.8
2014,4,6,23,19.4
2014,4,7,0,19.4
2014,4,7,1,19.7
2014,4,7,2,19.4
2014,4,7,3,18.75
2014,4,7,4,17.85
2014,4,7,5,17.85
2014,4,7,6,17.85
2014,4,7,7,17.75
2014,4,7,8,17.55
2014,4,7,9,17.35
2014,4,7,10,17.25
2014,4,7,11,17.4
2014,4,7,12,17.7
2014,4,7,13,18.55
2014,4,7,14,18.75
2014,4,7,15,19
2014,4,7,16,19.2
2014,4,7,17,19.8
2014,4,7,18,19.6
2014,4,7,19,19.65
2014,4,7,20,18.75
2014,4,7,21,18.6
2014,4,7,22,18.4
2014,4,7,23,18.3
2014,4,8,0,18.5
2014,4,8,1,18.45
2014,4,8,2,18.25
2014,4,8,3,18.1
2014,4,8,4,18
2014,4,8,5,17.8
2014,4,8,6,17.7
2014,4,8,7,17.6
2014,4,8,8,17.55
2014,4,8,9,17.3
2014,4,8,10,17.6
2014,4,8,11,18.2
2014,4,8,12,18.6
2014,4,8,13,18.9
2014,4,8,14,19.45
2014,4,8,15,20.05
2014,4,8,16,20.5
2014,4,8,17,20.35
2014,4,8,18,20.2
2014,4,8,19,19.7
2014,4,8,20,19.7
2014,4,8,21,19.3
2014,4,8,22,19.4
2014,4,8,23,18.85
2014,4,9,0,18.45
2014,4,9,1,18.3
2014,4,9,2,18.2
2014,4,9,3,18.1
2014,4,9,4,18.1
2014,4,9,5,17.8
2014,4,9,6,17.8
2014,4,9,7,17.8
2014,4,9,8,17.8
2014,4,9,9,17.8
2014,4,9,10,17.8
2014,4,9,11,17.9
2014,4,9,12,18.35
2014,4,9,13,18.5
2014,4,9,14,18.9
2014,4,9,15,18.9
2014,4,9,16,19.1
2014,4,9,17,19.1
2014,4,9,18,19.65
2014,4,9,19,19.8
2014,4,9,20,19.45
2014,4,9,21,19.2
2014,4,9,22,19
2014,4,9,23,18.9
2014,4,10,0,18.9
2014,4,10,1,19
2014,4,10,2,19
2014,4,10,3,18.9
2014,4,10,4,18.9
2014,4,10,5,18.95
2014,4,10,6,19.05
2014,4,10,7,18.85
2014,4,10,8,18.65
2014,4,10,9,18.6
2014,4,10,10,18.7
2014,4,10,11,18.8
2014,4,10,12,18.9
2014,4,10,13,18.85
2014,4,10,14,18.9
2014,4,10,15,19
2014,4,10,16,19.1
2014,4,10,17,19.1
2014,4,10,18,19.1
2014,4,10,19,19.1
2014,4,10,20,19.15
2014,4,10,21,19.1
2014,4,10,22,19.1
2014,4,10,23,19.05
2014,4,11,0,19.1
2014,4,11,1,18.85
2014,4,11,2,18.6
2014,4,11,3,18.3
2014,4,11,4,18.3
2014,4,11,5,18.25
2014,4,11,6,18.3
2014,4,11,7,18.1
2014,4,11,8,18.15
2014,4,11,9,18.15
2014,4,11,10,18.5
2014,4,11,11,19.25
2014,4,11,12,19.4
2014,4,11,13,19.5
2014,4,11,14,19.7
2014,4,11,15,19.85
2014,4,11,16,20
2014,4,11,17,19.85
2014,4,11,18,19.9
2014,4,11,19,20
2014,4,11,20,19.85
2014,4,11,21,19.25
2014,4,11,22,18.9
2014,4,11,23,18.95
2014,4,12,0,19
2014,4,12,1,18.6
2014,4,12,2,18.6
2014,4,12,3,18.35
2014,4,12,4,18.45
2014,4,12,5,18.2
2014,4,12,6,17.8
2014,4,12,7,17.85
2014,4,12,8,17.7
2014,4,12,9,17.5
2014,4,12,10,17.5
2014,4,12,11,17.65
2014,4,12,12,18.05
2014,4,12,13,18.15
2014,4,12,14,18.45
2014,4,12,15,19.15
2014,4,12,16,19.5
2014,4,12,17,19.45
2014,4,12,18,19.2
2014,4,12,19,19.1
2014,4,12,20,18.6
2014,4,12,21,18.55
2014,4,12,22,18.3
2014,4,12,23,18.45
2014,4,13,0,18.15
2014,4,13,1,18.1
2014,4,13,2,17.8
2014,4,13,3,17.8
2014,4,13,4,17.65
2014,4,13,5,17.8
2014,4,13,6,17.7
2014,4,13,7,17.35
2014,4,13,8,17.05
2014,4,13,9,16.9
2014,4,13,10,16.45
2014,4,13,11,17
2014,4,13,12,17.45
2014,4,13,13,17.85
2014,4,13,14,18.45
2014,4,13,15,18.75
2014,4,13,16,18.95
2014,4,13,17,19.1
2014,4,13,18,18.75
2014,4,13,19,18.6
2014,4,13,20,18.95
2014,4,13,21,18.45
2014,4,13,22,18.2
2014,4,13,23,18.1
2014,4,14,0,17.8
2014,4,14,1,17.8
2014,4,14,2,17.8
2014,4,14,3,17.95
2014,4,14,4,18.3
2014,4,14,5,18.1
2014,4,14,6,18.05
2014,4,14,7,17.95
2014,4,14,8,17.7
2014,4,14,9,17.2
2014,4,14,10,17.1
2014,4,14,11,17.8
2014,4,14,12,17.5
2014,4,14,13,18.1
2014,4,14,14,17.95
